LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,PRODUCT_NAME,SHORT_DESCRIPTION,PRODUCT_INFO,SPECIFICATION_BACKUP,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3
/opt/Upload/KCS//input/mobile_images/2023/12/28/294/ĐÈN NĂNG LƯỢNG  MẶT TRỜI SUNTEK DA-02.png,509193,Đèn Năng Lượng Mặt Trời,SMDEN000093,"Đèn đường năng lượng mặt trời SUNTEK DA-02, công suất 200W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn đường, đèn chiếu sáng công cộng, đèn đường cho nông thông mới, nông thôn mới nâng cao, đèn cho các khu trang trại, sân vườn,…

• Đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. Chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• Đèn đường năng lượng mặt trời SUNTEK DA02 có kiểu dáng thời trang, thiết kế hiện đại. Đèn sử dụng Chip LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 18-20 giờ đồng hồ.

• Đây sẽ là sản phẩm dành cho các dự án chiếu sáng công cộng, nông thôn mới, nông thôn mới nâng cao những vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 200W
• Chip: High quality Brightest 5054 Smd Chip Led
• Quang thông: 2340 Lumen
• Nhiệt độ màu: 6500K
• Chỉ số hoàn màu (CRI): 70Ra
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6V/40W
• Nhiệt độ làm việc: -20C ~ 65C
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sang + Có điều khiển từ xa.
• Cấp bảo vệ: IP-67, IK-08
• Chống sét TVS
• Thời gian chiếu sáng: 18-20h liên tục
• PIN: 3.2V/66.000mAh LiFePo4 32700
• Kích thước đèn: 20.5 x 8 x 55Cm(DxRxC)
• Kích thước tấm năng lượng mặt trời: 67 x 2.5 x 35Cm (DxRxC)",1808400,1989240,18084,Giá trị đơn hàng > 10 triệu,1848000,2032800,36960,Giá trị đơn hàng từ 5-10 triệu,2004800,2205280,171571.2
/opt/Upload/KCS//input/mobile_images/2024/3/7/933/Nồi Áp Suất Bluestone Pcb-5748.png,509324,Nồi áp suất,M&EAS100003,Nồi Áp Suất Bluestone Pcb-5748,"Nồi áp suất cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Dung tích 5L, Nồi áp suất có bảng điều khiển điện tử, màn hình hiển thị rõ ràng, tiện dụng.
12 chức năng nấu tự động như nấu gân, hầm thịt, nấu cơm, nấu cháo…
Lòng nồi bằng hợp kim nhôm phủ chống dính Ceramic bền bỉ, sáng đẹp.
Nhãn hàng nổi tiếng Singapore - Bluestone, mẫu mã đẹp, sáng, dùng tốt.",Thương hiệu Bluestone Mã sản phẩm PCB-5748 Loại nồi áp suất Nồi áp suất điện Dung tích thực 5L Công suất 900W Chất liệu nồi Vỏ ngoài thép sơn tĩnh điện Lòng nồi hợp kim nhôm chống dính Bảng điều khiển Nút nhấn có màn hình hiển thị Chức năng chính Hầm thịt Nấu gân Nấu đậu Giữ ấm Hầm xương,1673600,1840960,16736,Giá trị đơn hàng > 10 triệu,1710200,1881220,34204,Giá trị đơn hàng từ 5-10 triệu,1855300,2040830,103896.8
/opt/Upload/KCS//input/mobile_images/2023/12/28/743/ĐÈN PHA LED CHỐNG LOÁ NĂNG LƯỢNG MẶT TRỜI SUNTEK RL-300.png,509184,Đèn Năng Lượng Mặt Trời,SMDEN000084,"Đèn pha led chống lóa năng lượng mặt trời SUNTEK RL-300, công suất 300W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà...

• Đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. Chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• Đèn pha chống lóa năng lượng mặt trời SUNTEK RL300W có kiểu dáng thời trang, thiết kế hiện đại giúp bạn có thêm một vật dụng rất hữu ích.

• Đèn sử dụng bóng đèn LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 10-12 giờ đồng hồ.

• Đây sẽ là sản phẩm thiết yếu đối với mỗi gia đình, doanh nghiệp nhất là những nơi hay mất điện hoặc nhưng vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 300W
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6/35W
• Nhiệt độ làm việc: -20C ~ 65C
• Nhiệt độ màu: 6500K
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sang + Có điều khiển từ xa.
• Lớp chống thấm nước: IP-67
• Chống sét TVS
• Thời gian chiếu sáng: 10-12h liên tục
• PIN: 42.000mAh LifePO4
• Kích thước đèn: 28 x 37Cm
• Kích thước tấm năng lượng mặt trời: 35 x 1.7 x 70Cm",1194600,1314060,11946,Giá trị đơn hàng > 10 triệu,1220800,1342880,24416,Giá trị đơn hàng từ 5-10 triệu,1324400,1456840,113353.6
/opt/Upload/KCS//input/mobile_images/2023/12/28/536/ĐÈN NĂNG LƯỢNG  MẶT TRỜI SUNTEK RV-300.png,509185,Đèn Năng Lượng Mặt Trời,SMDEN000085,"Đèn đường năng lượng mặt trời SUNTEK RV-300, công suất 300W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn sân vườn cho biệt thự, hộ gia đình, đèn đường, Đèn cột, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm...

• Đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. Chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• Đèn năng lượng mặt trời SUNTEK RV300W có kiểu dáng thời trang, thiết kế hiện đại giúp bạn có thêm một vật dụng rất hữu ích.

• Đèn sử dụng bóng đèn LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 10-12 giờ đồng hồ.

• Đây sẽ là sản phẩm thiết yếu đối với mỗi gia đình, doanh nghiệp nhất là những nơi hay mất điện hoặc nhưng vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 300W
• Tấm pin năng lượng mặt trời: Polycrystal 6V/18W
• Nhiệt độ làm việc: -20C ~ 65C
• Nhiệt độ màu: 6500K
• Tuổi thọ bóng đèn LED: 50.000 giờ
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + Có điều khiển từ xa.
• Lớp chống thấm nước: IP-67
• Chống sét TVS
• Thời gian chiếu sáng: 10-12h liên tục
• PIN: 24.000mAh LifePO4
• Kích thước: 34.5 x 7 x 45.5 Cm
• Cân nặng: 2.7kg",756200,831820,7562,Giá trị đơn hàng > 10 triệu,772800,850080,15456,Giá trị đơn hàng từ 5-10 triệu,838400,922240,71769.6
/opt/Upload/KCS//input/mobile_images/2024/2/17/72/BÌNH NƯỚC NÓNG GIÁN TIẾP 20 lít SL2 30 B 2.5 FE.png,571641,Bình nước nóng,M&EGD000258,Bình nước nóng gián tiếp 30 lít SL2 30 B 2.5 FE,Bình nước nóng SL2 30 B là sản phẩm bình nước nóng gián tiếp của Hãng nước nóng Ariston,"Hệ thống an toàn đồng bộ TSS tích hợp ELCB chống giật, bình sẽ tự động ngắt điện. Khi có hiện tượng rò điện dù chỉ là nhỏ nhất. Đảm bảo an toàn tuyệt đối cho người sử dụng
Khuyến cáo nhiệt độ an toàn
Dung tích thực bằng dung tích công bố
Áp lực nước hoạt động:Tối đa 0.75 Mpa
Thời gian đun nóng: tối đa 40 phút tuỳ vào nhiệt độ nguồn nước đầu vào
Chế độ an toàn:Cầu dao chống rò điện ELCB, Bộ ổn định nhiệt TBST,
Vỏ chống thấm nước IPX1 Tùy chỉnh nhiệt độ nước
Nhiều mức độ Nhiệt độ tối đa:75 độ C
Thanh đốt 100% đồng chất lượng cao
Bình nước nóng có Công nghệ Flexomix cho nhiều nước nóng hơn 10%
Lớp cách nhiệt HDI giữ nước nóng lâu trong thời gian dài, tránh thất thoát nhiệt, tăng hiệu suất hoạt động, giúp gia đình bạn tiết kiệm điện hiệu quả., giữ nước nóng lên đến 48 giờ
Van an toàn giải phóng áp suất nước trong bình khi áp suất vượt quá mức cho phép","Dung tích: 30L Loại máy : gián tiếp Điện áp: 220 V Công suất (W): 2,500 Chống giật : ELCB Thanh đốt bằng đồng Nhiệt độ hoạt động tối đa (°C): 80 Áp suất làm việc tối đa : 0.8Mpa Khối lượng tịnh: 13 kg Kích thước (mm): 757x 331x341 WxHxD mm Bảo hành : 24 tháng",2631300,2894430,26313,Giá trị đơn hàng > 30 triệu,2688900,2957790,53778,Giá trị đơn hàng từ 15-30 triệu,2917000,3208700,163352
/opt/Upload/KCS//input/mobile_images/2024/2/17/584/BÌNH NƯỚC NÓNG GIÁN TIẾP 20 lít SL2 20 B 2.5 FE.png,571642,Bình nước nóng,M&EGD000259,Bình nước nóng gián tiếp 20 lít SL2 20 B 2.5 FE,Bình nước nóng SL2 20 B là sản phẩm bình nước nóng gián tiếp của Hãng nước nóng Ariston,"Máy nước nóng Ariston SL 20B với phong ngôn ngữ thiết kế mang đến ý tưởng mới cho dòng sản phẩm máy nước nóng Ariston với nét chủ đạo là “Đường cong Latinh” tạo cảm giác gần gũi và mang dấu ấn đến từ tương lai. Công suất làm nóng 2500W bảo đảm khả năng làm nóng hiệu quả và nhanh chóng.
Với mức dung tích bình chứa lên đến 20 lít, máy nước nóng sẽ rất phù hợp với những gia đình ít người khoảng 3 thành viên.
Đồng là kim loại đặc biệt với ưu điểm bền bỉ rất thích hợp làm nguyên liệu sản xuất thanh đốt để kéo dài tuổi thọ: Đồng tăng hơn 50% so với thanh đốt bằng thép không gỉ thông thường. Ngoài ra, nhờ sử dụng nguyên liệu an toàn, có tác dụng kháng khuẩn – thanh đốt bằng kim loại đồng đem lại nguồn nước trong lành và tốt hơn cho sức khỏe của chúng ta.
TSS là hệ thống an toàn được trang bị trên các bình nước nóng của Ariston với 2 công dụng:

Thiết bị phát hiện rò rỉ điện ELCB sẽ bảo đảm cho chúng ta khả năng chống bị điện giật, ngay khi phát hiện có rò rỉ, máy sẽ lập tức ngắt điện để đảm bảo an toàn cho chúng ta.

Bộ ổn định nhiệt TBST kiểm soát nhiệt độ nước giúp người sử dụng tránh bị bỏng khi nước bị làm nóng lên nhiệt độ quá cao, ngoài ra còn giúp tiết kiệm điện cho gia đình bạn khi máy không phải làm nóng dư thừa không cần thiết.","Dung tích : 20 lít Loại máy : gián tiếp Chống giật : ELCB Thanh đốt bằng đồng Công suất : 2,5kW Điện năng : 220V Thời gian gia nhiệt : 31 phút Nhiệt độ làm việc tối đa : 80 °C Áp suất làm việc tối đa : 0,8 Mpa Chỉ số bảo vệ chống xâm nhập : IPX1 Khối lượng tịnh : 12kg Tổng khối lượng: 14kg Kích thước : 704x282x301 WxHxD mm Bảo hành : 24 tháng",2329700,2562670,23297,Giá trị đơn hàng > 30 triệu,2380700,2618770,47614,Giá trị đơn hàng từ 15-30 triệu,2582700,2840970,144631.2
/opt/Upload/KCS//input/mobile_images/2024/2/18/150/GHẾ MASSAGE MAKANO MKGM-00002.png,577868,Ghế massage daikiosan,M&EGD000206,Ghế Massage Makano MKGM-00002,Ghế Massage Makano MKGM-00002 chính là món nội thất sang trọng đẳng cấp giúp xua tan mệt mỏi cực kỳ hiệu quả. Sản phẩm có nhiều tính năng nổi bật với mức giá dễ dàng sở hữu.,"• Túi khí TPU chuyển động thông minh. Ghế massage Makano MKGM00002 có hệ thống 20 túi khí được lắp đặt trải đều từ đầu đến chân, nén nhả đều đặn và có thể điều chỉnh 5 cấp độ lực từ nhẹ đến mạnh tùy thuộc vào nhu cầu, thể trạng người dùng.

• Massage chuyên nghiệp - Thư giãn trọn vẹn. Ghế massage toàn thân Makano MKGM00002 sử dụng công nghệ massage 2D được kết hợp với công nghệ thông minh AI 4.0 hiện đại thông qua những bài massage thư giãn đem đến cho người dùng cảm giác thoải mái, giảm đau nhức trên cơ thể.

• Công nghệ massage mô phỏng động tác như thật. Ghế massage Makano MKGM00002 có 3 thao tác massage bao gồm: xoa bóp, nhào, ấn nhằm mô phỏng động tác massage của các chuyên gia massage.

• Nâng niu cơ thể với chế độ massage không trọng lực. Ghế massage Makano MKGM00002 trang bị chức năng massage Zero Gravity (không trọng lực).

• Hỗ trợ điều hòa khí huyết bằng nhiệt sưởi ấm. Siêu phẩm massage 2D này tích hợp thêm massage nhiệt ấm ở phần thắt lưng và bắp chân, tác động sâu lên các vùng cơ đang bị đau nhức nhằm mang thư giãn cơ bắp tức thì và loại bỏ hoàn toàn cảm giác khó chịu trên cơ thể do ngồi lâu, đứng nhiều…

• Túi khí TPU chuyển động thông minh. Ghế massage Makano MKGM00002 có hệ thống 20 túi khí được lắp đặt trải đều từ đầu đến chân, nén nhả đều đặn và có thể điều chỉnh 5 cấp độ lực từ nhẹ đến mạnh tùy thuộc vào nhu cầu, thể trạng người dùng.

• Điều khiển màn hình LCD cảm ứng hiện đại tiếng Việt. Sử dụng ghế massage toàn thân Makano MKGM00002 nhanh chóng thông qua màn hình cảm ứng LCD cao cấp bằng tiếng Việt hiển thị rõ ràng các chế độ massage.

• Nghe nhạc thư giãn thông qua Bluetooth. Người dùng có thể tận hưởng khoảng thời gian massage thư giãn trong từng giai điệu âm nhạc tự chọn thông qua kết nối bluetooth dễ dàng trên điện thoại, máy tính bảng…","• Công suất: 120W
• Kích thước sản phẩm (Dài x Rộng x Cao): 155x74x110cm
• Trọng lượng sản phẩm: 56 Kg
• Ứng dụng công nghệ: - Công nghệ massage 2D - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y
• Chương trình massage: Có 4 chương trình massage tự động
• Động tác massage: Có 3 động tác massage mô phỏng động tác của các chuyên gia massage: Xoa bóp - nhào - ấn
• Massage bằng nhiệt sưởi ấm: Bằng sợi cacbon vị trí: Thắt lưng, bắp chân
• Massage không trọng lực (Zero Gravity): Có - giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn
• Con lăn: Con lăn bằng nhựa với 2 cấp độ ở đầu và 3 cấp độ sau gáy điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng
• Túi khí: 20 Túi khí bằng TPU với 5 cường độ điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng
• Điều khiển: Màn hình LCD cảm ứng bằng tiếng Việt
• Chức năng nghe nhạc: Loa nghe nhạc hiện đại kết nối bằng bluetooth
• Cấu trúc loa: 1 bên loa được thiết kế dành cho giọng nói, 1 bên loa được thiết kế dành cho nghe nhạc
• Chất liệu sản phẩm: - Da bằng chất liệu PU cao cấp - Khung định hình bằng thép không gỉ 2 lớp, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao...
• Tải trọng tối đa: 90 Kg",14198200,15618020,141982,Giá trị đơn hàng > 50 triệu,14509100,15960010,290182,Giá trị đơn hàng từ 30-50 triệu,15739800,17313780,881428.8
/opt/Upload/KCS//input/mobile_images/2024/1/23/874/Máy giặt Electrolux UltimateCare 500 Inverter EWF1024P5SB.jpg,571591,Máy Giặt,128004000003,Máy giặt Electrolux UltimateCare 500 Inverter EWF1024P5SB,Máy giặt Electrolux UltimateCare 500 Inverter 10 kg EWF1024P5SB có thiết kế kiểu máy giặt lồng ngang hiện đại. Vỏ máy kim loại sơn tĩnh điện với màu xám đen Onyx tinh tế giúp dễ dàng kết hợp với các nội thất trong gia đình. ,"Máy giặt Electrolux với khối lượng giặt lên đến 10 kg, là sự lựa chọn đáng cân nhắc cho các gia đình có từ 5 - 7 thành viên hoặc những gia đình nào có ít thành viên hơn nhưng nhu cầu giặt giũ cao, tiết kiệm điện nước.

Máy giặt được tích hợp các chương trình từ cơ bản đến nâng cao nhằm đáp ứng tối đa nhu cầu giặt giũ hàng ngày: Đồ cotton, đồ mỏng, đồ hỗn hợp, đồ trẻ em, đồ len, giặt nhanh 15 phút, giặt nhanh 39 phút...

Công nghệ giặt hơi nước Hygiene Care của máy giặt Electrolux sử dụng hơi nước có nhiệt độ từ 40 đến 90 °C để làm sạch quần áo. Kết thúc chu trình giặt, công nghệ Hygienic Care sẽ phun vào lồng giặt hơi nước để loại bỏ các loại vi khuẩn & tác nhân gây dị ứng như: Vi khuẩn Staphylococcus aureus, Klebsiella pneumonia, mạt bụi, lông thú cưng, phấn hoa,...

Chiếc máy giặt lồng ngang này của Electrolux sở hữu công nghệ Ultramix với cơ chế hòa tan chất giặt tẩy mạnh mẽ giúp chất giặt tẩy thấm sâu vào trong từng sợi vải, giặt sạch và bảo vệ màu vải tốt hơn 31%, ngăn ngừa cặn bột giặt chưa được hòa tan bám trên quần áo, gây ngứa ngáy, khó chịu, đặc biệt là những người có làn da nhạy cảm, dễ bị dị ứng.
Với thiết kế lồng giặt với các lỗ thoát nước nhỏ li ti hình tổ ong giúp hạn chế tiếp xúc giữa quần áo và lồng giặt trong suốt quá trình giặt giũ, giảm hiện tượng tưa sờn, sứt chỉ do quần áo bị mắc và các lỗ thoát nước này","Loại máy giặt: Cửa trước Lồng giặt: Lồng ngang Khối lượng giặt: 10 Kg Số người sử dụng: Từ 5 - 7 người Kiểu động cơ: Truyền động gián tiếp (dây Curoa) Tốc độ quay vắt tối đa: 1200 vòng/phút Chất liệu lồng giặt: Thép không gỉ Chất liệu vỏ máy: Kim loại sơn tĩnh điện Chất liệu nắp máy: Nhựa + Kính cường lực, thép Sản xuất tại: Thái Lan Thời gian bảo hành động cơ: 10 năm Hiệu suất sử dụng điện: 16.5 Wh/kg Loại Inverter: Công nghệ EcoInverterChương trình giặt: Chế độ yêu thích, Giặt 60 phút, Đồ trải giường, Giặt nhanh 15 phút, Giặt nhanh 39 phút, Giặt tiết kiệm, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ len, Đồ mỏng, Đồ thể thao, Đồ trẻ em Công nghệ giặt: Công nghệ giặt hơi nước Hygienic CareCông nghệ UltraMix hoà tan nước giặt hiệu quả Bảng điều khiển: Song ngữ Anh - Việt có nút xoay, cảm ứng và màn hình hiển thịTiện ích: Chỉnh nhiệt độ nước, Chỉnh số vòng vắt, Khóa trẻ em, Lưu chương trình yêu thích, Quản lý thời gian, Thêm quần áo khi máy đang giặt, Trì hoãn kết thúc, Xả thêm, Chế độ giặt sơ tự động Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 65.5 cm - Nặng 76 kg Chiều dài ống cấp nước: 134 cmChiều dài ống thoát nước: 209 cm",11849800,13034780,118498,Giá trị đơn hàng > 80 triệu,12109200,13320120,242184,Giá trị đơn hàng từ 50-80 triệu,13136400,14450040,735638.4
/opt/Upload/KCS//input/mobile_images/2024/2/17/373/BÌNH NƯỚC NÓNG GIÁN TIẾP 15 lít AN2 15 B 2.5 FE.png,571643,Bình nước nóng,M&EGD000260,Bình nước nóng gián tiếp 15 lít AN2 15 B 2.5 FE,"Bình nóng lạnh Ariston AN2 15 B 2.5 FE 15 lít có kiểu dáng gọn nhẹ với chiều cao chỉ 330 mm, vì vậy bạn có thể tiết kiệm được không gian cần có để lắp đặt sản phẩm một cách tối đa. Đây là thiết kế hoàn hảo cho cả gắn tường và đặt trên trần đều dễ dàng. Với thiết kế này, bạn có thể sử dụng lắp đặt để rửa bát 1 các dễ dàng.","Sản phẩm được thiết kế với kiểu dáng hiện đại, sang trọng, màu sắc bắt mắt, phù hợp với các không gian sinh hoạt hiện đại.
Dung tích 15 lít phù hợp với những gia đình có ít viên, giúp làm nóng nước hiệu quả và lượng nước sử dụng được nhiều hơn cho các thành viên trong gia đình. Đây là giải pháp tối ưu nhằm giảm thời gian chờ đợi và tiết kiệm điện năng.
Nhờ sử dụng 100% nguyên liệu an toàn – không mạ kền, có tác dụng kháng khuẩn – thanh đốt bằng đồng trên bình AN2 15 B 2.5 FE đem lại nguồn nước trong lành, tốt hơn cho sức khỏe người sử dụng.
Bình nóng lạnh này sử dụng hệ thống làm lạnh giá tiếp bạn chỉ cần một lần đun nóng nước là có thể sử dụng được trọng một thời gian dài mà khong phải đun lại.
Bình nóng lạnh Ariston 15 lít AN2 15 B 2.5FE được trang bị công nghệ ECO EVO tiết kiệm điện theo tiêu chuẩn châu Âu, cho phép bình tiết kiệm đối đa 14% điện năng tiêu thụ.
Thêm vào đó, ruột bính chứa đươc làm bằng Titan giúp cho bình nóng lạnh Ariston 15 lít AN2 15 B 2.5FE  có độ bền cao hơn so với những sản phẩm khác.
Bình nóng lạnh Ariston 15 lít AN2 15 B 2.5FE có kết hợp cầu dao ELCB tự động ngắt điện khi phát hiện rò rỉ cùng bộ vi mạch kiểm soát an toàn có khả năng rà soát liên tục thông số của bình.
Tự động ngắt mạch khi phát hiện thông số bất thường sẽ bảo vệ an toàn tuyệt đối cho bạn và người thân khỏi những mối nguy hại về điện. Nút điều chỉnh nhiệt độ thông minh giúp người sử dụng dễ dàng điều chỉnh thiết bị.
Hệ thống kiểm soát nhiệt độ TBSE bảo vệ bạn và gia đình tránh xa nguy cơ gây bỏng da.","Loại: Máy nước nóng gián tiếp Dung tích: 15 lit Công suất: 2500W Nhiệt độ tối đa: 75 độ C Hệ thống chống rò điện: ELCB, Bộ ổn định nhiệt TBST, Vỏ chống thấm nước Thời gian đun nóng: 21 phút Điều chỉnh nhiệt độ: có 3 mức (thấp ,trung bình ,cao) Kích thước: Dài x Rộng x Dày : 36 x 36 x 32 cm Áp lực nước hoạt động: Tối đa 0.75 Mpa Bảo hành: 2 năm",2178900,2396790,21789,Giá trị đơn hàng > 30 triệu,2226700,2449370,44534,Giá trị đơn hàng từ 15-30 triệu,2415500,2657050,135268
/opt/Upload/KCS//input/mobile_images/2024/2/18/477/Ghế Massage Daikiosan DKGM 10003.png,577869,Ghế massage daikiosan,M&EGD000213,Ghế Massage Daikiosan DKGM-10003,"Ghế massage toàn thân Daikiosan DKGM-10003 sử dụng công nghệ AI, massage 3D kết hợp trị liệu Đông Y rất hoàn hảo để chăm sóc sức khỏe, báo hiếu với người lớn tuổi để giảm stress, đau nhức, mang đến niềm vui cho cả nhà. Với thiết kế tinh tế, chất liệu cấu thành đều cao cấp nên siêu phẩm cũng chính là món nội thất cao cấp tô điểm cho không gian nhà thêm sang trọng.","• Công nghệ massage 3D massage như tay người. Phần lưng ghế massage toàn thân Daikiosan DKGM10003 được thiết kế với một tập hợp con lăn di chuyển thông minh theo không gian 3 chiều: dài, rộng, sâu cho bạn trải nghiệm massage 3D chuyên sâu như bàn tay của các chuyên gia massage.

• 6 công nghệ massage chuyên sâu. Ghế massage Daikiosan DKGM10003 cho phép người dùng tự điều chỉnh và chọn 6 thao tác massage đúng theo nhu cầu mà cơ thể cần: Xoa bóp, lăn, đấm, bấm huyệt, vỗ, kết hợp.

• Có 6 chương trình massage tự động. Bạn chỉ cần ngồi lên ghế massage toàn thân và chọn một trong 6 chương trình massage tự động được lập trình sẵn: chế độ nam giới, chế độ nữ giới, cổ và vai, chế độ hông, chế độ thư giãn, chế độ ngủ theo nhu cầu và sở thích.

• 36 túi khí chuyển động nén nhả liên hồi. Túi khí được bố trí khoa học từ đầu đến chân tạo áp lực lên các khu vực mà con lăn không với tới.

• Massage nhiệt tại thắt lưng. Ghế massage Daikiosan DKGM10003 được cải tiến, tích hợp massage nhiệt bằng sợi carbon tại thắt lưng để kích thích máu lưu thông tốt, xua tan mỏi mệt và đau nhức trên cơ thể.

• Chế độ massage không trọng lực. Zero Gravity Khi chọn chương trình massage không trọng lực trên ghế massage Daikiosan DKGM10003 thì ghế sẽ ngã ra sau, đưa bạn vào trạng thái không trọng lực như các phi hành gia lơ lững khi vào vũ trụ.

• Điều khiển tiện lợi, thao tác dễ dàng. Sử dụng ghế massage bằng điều khiển remote, hiển thị rõ ràng, dễ thao tác.

• Nghe nhạc khi massage thông qua Bluetooth. Ghế massage Daikiosan DKGM10003 hiện đại được trang bị hệ thống loa âm thanh cao cấp kết nối nhanh qua bluetooth giúp quá trình massage hiệu quả và thư giãn hơn.","• Công suất: 120W
• Kích thước sản phẩm (Dài x Rộng x Cao): 135*76*122cm
• Trọng lượng sản phẩm: 85 Kg
• Ứng dụng công nghệ: - Công nghệ massage 3D đỉnh cao - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y
• Scan cơ thể: Có - để điều chỉnh vị trí massage phù hợp từng người
• Chương trình massage: Có 6 chương trình massage tự động
• Động tác massage: Có 6 động tác massage mô phỏng động tác của các chuyên gia massage: Xoa bóp - Lăn - Đấm - Bấm huyệt - Vỗ - Kết hợp
• Massage bằng nhiệt sưởi ấm: Bằng sợi carbon 1 cấp độ: ở hông
• Massage không trọng lực (Zero Gravity): Có - giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn
• Con lăn: Con lăn bằng Silicon điều chỉnh 5 cấp độ từ nhẹ tới mạnh theo nhu cầu của người dùng
• Túi khí: Túi khí bằng TPU điều chỉnh 5 cường độ từ nhẹ tới mạnh theo nhu cầu người dùng
• Dây ray: SL 130cm
• Điều khiển: - Bảng điều khiển remote sang trọng - Bằng giọng nói tiếng Việt
• Chức năng nghe nhạc: Loa nghe nhạc hạng sang, cao cấp thông qua Speaker và bluetooth
• Chất liệu sản phẩm: - Da bằng chất liệu PU chống thủy phân cao cấp - Nhựa cao cấp ABS + lớp sơn bóng bảo vệ - Khung định hình bằng thép không gỉ, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao...
• Tải trọng tối đa: 100 Kg",25407300,27948030,254073,Giá trị đơn hàng > 50 triệu,25963600,28559960,519272,Giá trị đơn hàng từ 30-50 triệu,28165900,30982490,1577290.4
